,Player,From,To,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
5093,Fatodd Lewis,2016,2019,Tennessee-Martin,OVC,100,2137,310,695,250,489,60,206,144,237,153,337,490,90,68,41,139,178,824
5094,Chris Lykes,2018,2019,Miami (FL),ACC,64,1772,271,670,162,339,109,331,173,228,17,108,125,178,68,2,151,142,824
5095,Quinton Marshall,2013,2016,Citadel,Southern,117,2574,313,715,247,508,66,207,132,224,117,227,344,133,81,31,185,234,824
5098,Keddric Mays,2006,2007,Chattanooga,Southern,65,1971,266,654,57,131,209,523,83,109,39,105,144,110,79,8,84,130,824
5099,Ervin Mitchell,2016,2017,Grambling,SWAC,57,1619,274,597,206,405,68,192,208,302,45,171,216,62,62,20,99,143,824
5100,Marquise Pointer,2016,2019,College of Charleston,CAA,124,3147,277,791,150,384,127,407,143,203,90,205,295,267,107,17,176,194,824
5101,Orlando Williams,2010,2014,Total,Total,109,2246,278,637,141,291,137,346,131,183,38,178,216,138,70,21,134,207,824
5102,Tone Boyle,2009,2011,Milwaukee,Horizon,63,2195,254,677,105,259,149,418,166,219,30,173,203,68,54,10,93,95,823
5103,Giovanni De Nicolao,2017,2019,Texas-San Antonio,CUSA,100,2887,301,823,219,550,82,273,139,208,45,301,346,348,153,13,217,309,823
5104,Will Egolf,2008,2013,Bradley,MVC,117,2447,326,715,289,595,37,120,134,194,144,324,468,67,81,79,141,364,823
5105,Marquis Ford,2006,2009,Saint Francis (PA),NEC,108,2839,266,691,133,339,133,352,158,230,68,235,303,305,90,5,269,171,823
5106,Tyler Lydon,2016,2017,Syracuse,ACC,71,2349,278,584,180,339,98,245,169,209,145,382,527,111,77,116,106,184,823
5107,Deandre Mathieu,2012,2015,Total,Total,100,2453,306,633,266,537,40,96,171,233,45,179,224,346,150,4,194,191,823
5108,Derrick Nix,2010,2013,Michigan State,Big Ten,139,2219,321,602,321,602,0,0,181,315,203,308,511,111,82,32,138,176,823
5109,Milan Prodanovic,2007,2010,Iona,MAAC,122,3173,272,773,107,277,165,496,114,147,55,236,291,149,115,18,158,280,823
5110,Justin Simmons,2013,2014,Omaha,Summit,61,1511,305,709,235,493,70,216,143,180,41,156,197,110,69,28,146,66,823
5111,Drew Urquhart,2015,2018,Vermont,AEC,134,2084,313,587,298,549,15,38,182,257,138,322,460,108,20,86,138,263,823
5112,Philip Whittington,2016,2019,Total,Total,94,1747,352,670,351,658,1,12,118,193,199,398,597,52,31,100,130,231,823
5113,Troy Brewer,2008,2012,Total,Total,112,2337,285,716,140,299,145,417,107,135,54,213,267,101,58,20,96,124,822
5114,Anthony Downing,2012,2013,Missouri State,MVC,65,2104,282,677,206,416,76,261,182,226,43,203,246,162,50,3,110,136,822
5115,Todd Fletcher,2010,2013,Air Force,MWC,124,3441,292,644,172,310,120,334,118,145,32,261,293,366,132,11,172,239,822
5116,Kareem Maddox,2008,2011,Princeton,Ivy,104,2264,282,589,267,511,15,78,243,309,130,326,456,143,62,108,155,154,822
5117,Ricky McPhee,2006,2010,Total,Total,115,2464,273,722,85,196,188,526,88,116,53,169,222,125,81,3,161,152,822
5120,Cheddi Mosely,2015,2019,Total,Total,88,2077,274,682,115,224,159,458,115,153,26,160,186,86,79,10,127,138,822
5121,John Pichon,2006,2009,McNeese State,Southland,99,2814,319,740,295,630,24,110,160,253,210,371,581,198,73,60,242,165,822
5122,Otto Porter,2012,2013,Georgetown,Big East,64,2077,293,588,238,433,55,155,181,241,121,336,457,135,94,55,85,125,822
5123,Greig Stire,2015,2018,Albany (NY),AEC,132,2876,306,568,306,567,0,1,210,326,311,424,735,107,53,21,125,359,822
5124,Jared Wilson-Frame,2018,2019,Pittsburgh,ACC,64,1899,281,719,109,240,172,479,88,109,61,210,271,95,33,12,108,137,822
5125,Holland Woods,2018,2019,Portland State,Big Sky,65,2202,255,641,190,416,65,225,247,315,30,157,187,356,99,6,198,140,822
5126,Jonathan Arledge,2011,2015,Total,Total,133,1991,296,662,265,559,31,103,198,273,181,295,476,68,56,59,135,292,821
5127,Ray Barbosa,2006,2008,Total,Total,61,1848,278,668,144,290,134,378,131,164,53,140,193,115,46,6,109,93,821
5128,Aric Brooks,2008,2012,Total,Total,122,2538,225,579,178,442,47,137,324,403,101,275,376,131,85,23,187,219,821
5129,Aaron Bruce,2006,2008,Baylor,Big 12,78,2080,269,676,121,293,148,383,135,169,37,155,192,215,54,6,167,179,821
5130,Jordan Payne,2007,2008,Louisiana-Monroe,Sun Belt,63,1640,258,638,132,308,126,330,179,218,56,140,196,88,52,5,113,89,821
5131,Kyle Wilson,2006,2007,Wichita State,MVC,66,1857,270,597,189,392,81,205,200,240,107,257,364,106,37,19,121,166,821
5132,Kyle Duncan,2006,2009,Austin Peay,OVC,125,2959,295,633,184,374,111,259,119,184,160,290,450,148,129,26,157,345,820
5133,Keonta Howell,2006,2007,Toledo,MAC,63,1843,307,654,204,372,103,282,103,135,83,197,280,73,61,27,104,180,820
5134,Blagoj Janev,2006,2007,New Hampshire,AEC,59,1922,263,614,153,320,110,294,184,246,51,231,282,79,21,29,141,138,820
5135,Ryan Kreklow,2016,2019,Missouri State,MVC,126,2716,256,666,88,209,168,457,140,171,44,241,285,145,98,26,156,268,820
5136,Torrell Martin,2006,2007,Winthrop,Big South,58,1659,301,643,169,305,132,338,86,147,125,204,329,85,85,12,90,98,820
5137,Reeves Nelson,2010,2012,UCLA,Total,68,1837,310,531,303,503,7,28,193,336,139,355,494,73,37,38,134,148,820
5138,Mohamed Abukar,2006,2007,San Diego State,MWC,54,1729,303,634,276,543,27,91,186,226,85,204,289,73,36,33,112,141,819
5139,Klint Carlson,2015,2018,Northern Iowa,MVC,113,2799,311,729,234,472,77,257,120,165,93,379,472,138,67,22,132,191,819
5142,Deki Delic,2006,2007,Monmouth,NEC,61,1851,269,645,122,231,147,414,134,205,33,179,212,129,46,11,119,141,819
5143,Luka Garza,2018,2019,Iowa,Big Ten,65,1474,302,556,265,438,37,118,178,242,138,217,355,63,21,49,77,154,819
5144,P.J. Miller,2010,2013,NJIT,GWC,112,2943,296,695,292,650,4,45,223,371,83,218,301,323,127,21,254,255,819
5145,DaShawn Walker,2006,2007,Denver,Sun Belt,58,1876,281,764,153,412,128,352,129,158,57,207,264,77,39,27,156,127,819
5146,Christian Wall,2008,2011,Chicago State,Total,120,2498,281,733,190,441,91,292,166,240,64,202,266,196,123,9,175,266,819
5147,Gabe Blair,2007,2011,Total,Total,127,2871,330,703,330,689,0,14,158,235,241,545,786,104,121,94,153,347,818
5148,Michael Davenport,2009,2013,St. Bonaventure,A-10,127,2581,311,749,239,524,72,225,124,163,102,283,385,204,87,30,178,225,818
5149,Kenny Dawkins,2008,2009,Lamar,Southland,55,1923,260,616,147,310,113,306,185,217,25,151,176,240,105,2,149,111,818
5150,Lamine Diane,2019,2019,Cal State Northridge,Big West,33,1165,340,701,333,678,7,23,131,251,108,260,368,68,50,72,105,112,818
5151,Antonio Hanson,2006,2010,Total,Total,81,2034,283,703,96,232,187,471,65,79,32,79,111,124,63,1,150,138,818
5152,Devin Harris,2014,2018,Total,Total,97,2413,286,629,265,554,21,75,225,319,120,408,528,257,110,18,198,177,818
5153,Victor Joseph,2017,2018,Cal Poly,Big West,62,1704,270,673,156,356,114,317,164,193,35,100,135,83,50,8,111,142,818
5154,Marquise Kately,2008,2009,Morgan State,MEAC,68,2189,345,716,329,656,16,60,112,203,158,230,388,108,57,23,152,150,818
5155,Kojo Mensah,2006,2008,Total,Total,57,1672,252,615,227,510,25,105,289,390,136,136,272,213,112,6,191,116,818
5156,A.J. Mosby,2017,2018,Alcorn State,SWAC,64,2025,290,634,173,337,117,297,121,145,38,262,300,211,89,7,113,111,818
5157,Torey Thomas,2006,2007,Holy Cross,Patriot,66,2445,245,640,163,425,82,215,246,335,57,272,329,313,172,1,221,176,818
5158,Jim Goffredo,2006,2007,Harvard,Ivy,54,1907,258,685,125,294,133,391,168,189,32,101,133,71,68,2,129,139,817
5159,Cameron McGriff,2017,2019,Oklahoma State,Big 12,100,2452,255,613,189,404,66,209,241,305,189,341,530,109,82,53,141,239,817
5160,Eddie Miller,2007,2008,Fresno State,WAC,64,2023,269,675,69,157,200,518,79,98,27,136,163,60,53,26,64,82,817
5161,Stanford Robinson,2014,2018,Total,Total,132,2457,299,692,252,535,47,157,172,286,123,293,416,189,143,36,161,272,817
5164,Aaron Brown,2012,2016,Total,Total,116,2303,290,692,220,490,70,202,166,242,93,214,307,111,49,9,119,170,816
5165,Justin Doellman,2006,2007,Xavier,A-10,66,1902,276,605,191,369,85,236,179,229,105,298,403,138,81,90,107,203,816
5166,John Egbunu,2014,2017,Total,Total,90,2184,302,533,301,531,1,2,211,387,231,345,576,31,33,126,157,263,816
5167,Denzel Gregg,2014,2017,St. Bonaventure,A-10,114,2390,312,658,296,593,16,65,176,282,197,342,539,90,52,137,149,273,816
5168,Tucker Halpern,2010,2013,Brown,Ivy,82,2234,282,733,138,326,144,407,108,138,52,243,295,164,85,41,116,135,816
5169,Nathan Healy,2010,2013,Appalachian State,Southern,126,2396,298,624,216,402,82,222,138,182,154,345,499,110,107,71,125,239,816
5170,Zedric Sadler,2013,2016,Rider,MAAC,124,3085,286,731,182,418,104,313,140,208,80,304,384,250,126,45,182,201,816
5171,Kevin Ware,2012,2016,Total,Total,131,2839,287,674,236,520,51,154,191,267,53,252,305,220,144,35,195,214,816
5172,Derrick Williams,2011,2014,Richmond,A-10,106,2056,250,477,211,365,39,112,277,372,158,267,425,80,45,35,141,216,816
5173,Brent Benson,2008,2009,Texas State,Southland,58,1373,242,572,84,188,158,384,173,243,35,93,128,72,39,5,83,155,815
5174,Pat Forsythe,2012,2016,Total,Total,129,2210,327,615,326,609,1,6,160,267,199,297,496,72,58,132,171,288,815
5175,Dayon Griffin,2015,2019,Total,Total,121,2494,293,708,151,293,142,415,87,158,56,298,354,130,101,30,122,158,815
5176,Vernon Hamilton,2006,2007,Clemson,ACC,67,2068,316,689,252,492,64,197,119,227,54,157,211,216,153,7,178,125,815
5177,Zane Martin,2017,2018,Towson,CAA,65,1434,290,659,202,419,88,240,147,210,32,138,170,118,47,8,114,110,815
5178,Geoff McCammon,2008,2011,Loyola (IL),Horizon,92,1827,280,659,137,312,143,347,112,148,33,142,175,59,48,12,97,116,815
5179,Ambrose Mosley,2014,2017,Total,Total,111,2456,272,713,73,162,199,551,72,100,68,226,294,108,67,5,79,217,815
5180,Carlos Rivera,2006,2007,Hofstra,CAA,65,2180,248,597,134,290,114,307,205,257,74,188,262,243,97,14,127,191,815
5181,Curran Scott,2016,2019,Total,Total,96,2067,243,575,159,363,84,212,245,301,40,181,221,100,36,2,130,153,815
5182,Aaron Thomas,2013,2015,Florida State,ACC,76,1938,277,628,225,465,52,163,209,271,59,194,253,116,87,21,152,136,815
5183,Clarence Trent,2010,2014,Total,Total,110,1952,300,702,243,490,57,212,158,236,162,302,464,97,101,53,196,247,815
5184,Tyler Ulis,2015,2016,Kentucky,SEC,72,2170,259,607,171,370,88,237,209,247,35,137,172,381,88,6,107,120,815
5185,Bashir Ahmed,2017,2018,St. John's (NY),Big East,66,1877,272,679,176,404,96,275,174,267,112,223,335,71,53,30,124,177,814
5186,Glenn Andrews,2008,2012,Total,Total,97,1838,267,808,128,340,139,468,141,205,41,183,224,115,84,14,157,108,814
5187,Jordan Bell,2015,2017,Oregon,Pac-12,105,2591,345,566,342,550,3,16,121,192,224,495,719,155,111,234,162,241,814
5188,Malcolm Bernard,2013,2017,Total,Total,124,2687,254,624,183,411,71,213,235,368,145,365,510,232,136,45,196,267,814
5189,Moussa Camara,2008,2011,Binghamton,AEC,108,2449,261,707,112,279,149,428,143,193,58,155,213,60,46,11,115,158,814
5190,Lawrence Ghoram,2007,2010,Rice,CUSA,120,2426,298,699,258,589,40,110,178,281,151,212,363,120,75,26,183,274,814
5191,Joe Ross Merritt,2006,2008,Samford,OVC,93,2840,295,628,148,240,147,388,77,131,73,211,284,154,58,10,118,217,814
5192,Akim Mitchell,2016,2019,Hampton,Total,128,2846,291,605,231,445,60,160,172,214,174,308,482,133,83,7,117,266,814
5193,Reese Morgan,2013,2016,Cal Poly,Big West,98,2017,206,577,52,151,154,426,248,286,68,187,255,119,77,12,65,220,814
5194,Tarik Phillip,2015,2017,West Virginia,Big 12,106,2118,248,589,170,378,78,211,240,336,68,177,245,238,154,25,161,206,814
5195,Derrick Roberts,2006,2008,Southern Methodist,CUSA,83,2605,299,681,205,399,94,282,122,173,74,181,255,180,70,17,165,141,814
5196,Matt Smith,2010,2014,Total,Total,132,2364,282,579,197,371,85,208,165,226,116,264,380,37,44,66,114,253,814
5197,Adrian Williams,2008,2011,Brown,Ivy,115,2793,254,659,94,208,160,451,146,191,33,222,255,127,65,4,149,132,814
5198,Sam Atupem,2006,2009,Mount St. Mary's,NEC,117,2722,349,669,349,668,0,1,115,166,206,242,448,79,57,126,171,325,813
5199,Matt Betley,2006,2008,Lafayette,Patriot,88,2244,281,595,184,326,97,269,154,231,131,298,429,151,86,17,173,221,813
5200,Dachon Burke,2017,2018,Robert Morris,NEC,65,1799,305,684,247,510,58,174,145,220,108,204,312,104,118,27,144,155,813
5201,Michael Craion,2010,2012,Oral Roberts,Summit,69,2023,311,577,308,561,3,16,188,294,172,287,459,108,99,62,154,186,813
5202,Reger Dowell,2010,2014,Total,Total,83,1565,267,647,149,314,118,333,161,215,16,110,126,116,33,4,127,152,813
5203,D.J. Foreman,2015,2019,Total,Total,131,2689,308,604,302,587,6,17,191,363,179,361,540,88,49,52,207,317,813
5206,Tre Hale-Edmerson,2013,2016,Cal State Northridge,Big West,129,3522,325,682,290,554,35,128,128,177,147,581,728,303,137,185,232,422,813
5207,Chris Hines,2010,2013,Total,Total,117,2468,263,716,92,253,171,463,116,159,31,160,191,76,52,5,142,188,813
5208,Amath M'Baye,2010,2013,Total,Total,84,2158,313,669,291,559,22,110,165,250,126,284,410,56,55,72,172,226,813
5209,Deven Simms,2017,2018,Arkansas State,Sun Belt,54,1535,293,624,251,504,42,120,185,256,65,230,295,99,66,21,132,88,813
5210,Raymond Spalding,2016,2018,Louisville,ACC,100,2173,332,596,326,571,6,25,143,247,228,402,630,89,104,111,131,261,813
5211,Reyshawn Terry,2006,2007,North Carolina,ACC,69,1567,275,569,185,348,90,221,173,223,107,289,396,105,57,51,151,178,813
5212,Novak Topalovic,2016,2019,Total,Total,123,2500,331,607,331,604,0,3,151,303,176,445,621,83,30,107,184,288,813
5213,Ian Vouyoukas,2006,2007,Saint Louis,A-10,62,1873,290,546,285,518,5,28,228,342,147,312,459,97,25,112,159,177,813
5214,Andre Williamson,2009,2012,Appalachian State,Southern,126,2580,304,561,295,542,9,19,196,314,183,540,723,87,36,160,157,291,813
5215,Shaquille Boga,2014,2015,Texas-Rio Grande Valley,WAC,61,2067,291,750,205,483,86,267,144,199,29,169,198,211,105,5,124,133,812
5216,Mitch Bruneel,2012,2015,Total,WAC,97,2528,302,594,237,402,65,192,143,208,187,217,404,87,55,13,98,160,812
5217,Jordan Butler,2015,2019,Norfolk State,MEAC,129,3027,288,584,288,584,0,0,236,349,240,492,732,99,54,229,175,335,812
5218,Galal Cancer,2012,2016,Total,Total,118,2881,266,711,193,500,73,211,207,297,106,229,335,288,117,18,217,306,812
5219,Bruce Carter,2007,2008,Murray State,OVC,61,1680,302,649,236,467,66,182,142,181,97,237,334,117,60,11,126,164,812
5220,Oscar Frayer,2017,2019,Grand Canyon,WAC,97,2488,304,697,192,349,112,348,92,157,138,316,454,101,104,73,124,223,812
5221,Jimmy Gray,2010,2013,Binghamton,AEC,115,3205,285,779,122,273,163,506,79,101,57,225,282,291,143,15,241,189,812
5222,Harvey Hale,2006,2009,Wake Forest,ACC,124,2343,249,718,120,304,129,414,185,234,45,204,249,130,104,8,155,245,812
5223,Dion Harris,2006,2007,Michigan,Big Ten,66,2113,268,692,127,314,141,378,135,159,39,135,174,213,67,6,146,127,812
5224,Curtis Kelly,2007,2011,Total,Total,113,2008,307,566,306,564,1,2,197,326,190,287,477,111,55,134,200,223,812
5225,Christian Lutete,2016,2019,Total,Total,89,1762,287,602,178,298,109,304,129,184,77,298,375,74,28,7,113,104,812
5228,David Rufful,2009,2012,Dartmouth,Ivy,114,2729,315,827,230,571,85,256,97,157,98,289,387,133,137,12,191,246,812
5229,Ryan Sawvell,2012,2017,Total,Total,135,2581,329,593,298,513,31,80,123,178,176,388,564,103,48,18,100,234,812
5230,Rosco Allen,2013,2016,Stanford,Pac-12,97,2288,255,641,156,349,99,292,202,283,99,309,408,105,73,21,126,199,811
5231,Justin Alston,2013,2017,Boston University,Total,120,2075,333,594,333,592,0,2,145,205,150,324,474,67,44,59,133,267,811
5232,Ledarrius Brewer,2018,2019,Southeast Missouri State,OVC,60,1732,279,698,160,343,119,355,134,182,34,220,254,97,63,26,140,134,811
5233,Melvin Buckley,2006,2007,South Florida,Big East,59,2098,274,718,124,300,150,418,113,151,79,226,305,59,34,15,128,138,811
5234,Rashad Chase,2006,2009,Georgia State,CAA,120,2987,260,643,230,548,30,95,261,435,241,466,707,103,104,36,218,330,811
5235,Grant Gibbs,2010,2014,Total,Total,124,3136,287,555,223,390,64,165,173,255,88,360,448,519,90,24,221,298,811
5236,Derwin Kitchen,2009,2011,Florida State,ACC,91,2595,288,623,226,439,62,184,173,239,108,359,467,308,133,10,192,122,811
5237,Jalen Reynolds,2014,2016,Xavier,Big East,102,1818,328,581,326,574,2,7,153,234,187,376,563,41,51,73,114,295,811
5238,Tashombe Riley,2015,2017,South Carolina State,MEAC,98,2119,351,751,340,707,11,44,98,134,151,286,437,54,50,28,84,229,811
5239,Moses Sonko,2006,2007,Coastal Carolina,Big South,60,1635,328,588,316,548,12,40,143,182,150,223,373,66,69,9,108,178,811
5240,Rudy Turner,2009,2012,Total,Total,89,2072,313,591,313,589,0,2,185,278,233,321,554,26,37,120,179,281,811
5241,Bubba Walther,2006,2008,Total,MAC,68,1982,254,629,84,171,170,458,133,156,18,134,152,195,97,12,124,100,811
5242,Ryan Allen,2018,2019,Delaware,CAA,52,1863,277,680,130,294,147,386,109,157,12,115,127,96,29,8,82,127,810
5243,Derrick Caracter,2007,2010,Total,Total,79,1553,314,558,309,542,5,16,177,282,186,254,440,51,53,61,170,241,810
5244,Nate Kennell,2017,2019,Bradley,MVC,100,2393,271,665,106,248,165,417,103,144,22,211,233,180,58,17,128,241,810
5245,Treg Setty,2012,2016,Total,Total,131,2418,295,655,243,482,52,173,168,251,129,300,429,106,83,25,166,307,810
5246,Justin Simon,2016,2019,Total,Total,91,2488,314,668,287,591,27,77,155,250,85,350,435,283,139,55,182,202,810
5247,Brigham Waginger,2007,2010,Western Carolina,Southern,127,3668,278,729,113,229,165,500,89,160,102,348,450,398,285,5,232,274,810
5250,Howard Crawford,2007,2010,Alabama-Birmingham,CUSA,119,2021,287,580,276,546,11,34,224,322,138,188,326,32,22,32,121,245,809
5251,Josh Davis,2016,2019,Western Michigan,MAC,116,2294,290,690,200,387,90,303,139,219,111,330,441,113,76,37,176,225,809
5252,Sam McLaurin,2009,2013,Total,Total,141,3209,325,556,324,552,1,4,158,286,336,434,770,117,64,179,149,310,809
5253,Kavion Pippen,2018,2019,Southern Illinois,MVC,65,1673,361,650,360,647,1,3,86,126,106,268,374,82,43,108,130,183,809
5254,Dartaye Ruffin,2011,2014,Drexel,CAA,125,3255,322,632,322,632,0,0,165,269,290,539,829,58,93,75,148,390,809
5255,Cavel Witter,2008,2010,Creighton,MVC,101,1927,234,593,139,319,95,274,246,298,25,129,154,217,72,3,194,177,809
5256,DeVaughn Akoon-Purcell,2015,2016,Illinois State,MVC,60,1629,275,642,226,479,49,163,209,283,101,215,316,97,58,18,140,114,808
5257,Brandon Brown,2016,2017,Loyola Marymount,WCC,61,1913,284,727,208,517,76,210,164,220,57,112,169,299,85,1,149,103,808
5258,Richard Carter,2013,2014,Drake,MVC,63,1790,252,609,188,415,64,194,240,324,23,146,169,227,92,2,146,155,808
5259,Greg Gamble,2006,2009,Buffalo,MAC,119,3046,288,663,279,627,9,36,223,331,189,315,504,292,132,15,262,231,808
5260,Andre Harris,2006,2007,Fairleigh Dickinson,NEC,61,1637,328,682,317,645,11,37,141,217,118,222,340,65,61,50,128,156,808
5261,Boomer Herndon,2006,2007,Belmont,A-Sun,64,1247,334,564,334,564,0,0,140,243,169,234,403,40,38,102,138,149,808
5262,Lonnie McClanahan,2014,2015,Texas-Arlington,Sun Belt,63,1618,267,596,266,586,1,10,273,368,63,176,239,205,61,2,192,159,808
5263,Tariq Owens,2015,2019,Total,Total,131,2780,319,598,299,527,20,71,150,207,206,404,610,63,62,268,120,356,808
5264,Rod Rucker,2013,2014,Alabama-Birmingham,CUSA,63,2009,318,728,317,713,1,15,171,267,163,319,482,138,50,36,147,159,808
5265,Derek Stockalper,2006,2007,Cal Poly,Big West,59,1890,298,582,178,319,120,263,92,132,121,282,403,119,41,16,103,118,808
5266,Liam Thomas,2014,2017,Nicholls State,Southland,119,2690,311,549,290,469,21,80,165,274,210,373,583,188,56,295,196,360,808
5267,Kendrick Washington,2010,2014,Total,Total,111,2620,295,614,290,590,5,24,213,341,200,357,557,112,79,59,170,326,808
5268,Stef Welsh,2007,2010,Arkansas,SEC,129,2515,273,772,133,319,140,453,122,186,49,167,216,230,87,5,206,213,808
5269,Jheryl Wilson,2010,2011,NJIT,GWC,59,1947,292,696,197,427,95,269,129,210,84,210,294,142,61,8,146,119,808
5272,Anson Winder,2012,2015,Brigham Young,WCC,129,2126,267,582,167,299,100,283,174,248,33,214,247,170,107,13,91,180,808
5273,Tevin Broyles,2014,2017,New Orleans,Southland,108,2446,271,632,236,506,35,126,230,348,86,229,315,182,97,11,237,264,807
5274,Damon Collins,2014,2017,Howard,MEAC,123,3497,267,703,242,594,25,109,248,361,110,385,495,210,118,21,313,249,807
5275,Kevin Little,2015,2019,Total,Total,69,1896,285,775,137,351,148,424,89,117,22,123,145,205,74,2,160,127,807
5276,Anthony McDonald,2014,2015,Total,Total,65,1970,252,634,73,151,179,483,124,158,29,98,127,69,45,1,92,111,807
5277,Tyler Peterson,2017,2019,South Dakota,Summit,99,2425,297,660,239,431,58,229,155,204,81,286,367,161,79,20,137,252,807
5278,Dawin Whiten,2006,2008,Cal Poly,Big West,75,2140,265,743,107,290,158,453,119,162,32,154,186,162,84,8,177,192,807
5279,Jamar Gulley,2012,2014,Missouri State,MVC,65,1682,298,626,254,491,44,135,166,234,126,270,396,92,86,15,97,204,806
5280,Earvin Morris,2013,2016,Total,Total,84,1677,276,611,170,327,106,284,148,218,24,174,198,97,57,23,112,176,806
5281,Garrick Sherman,2010,2014,Total,Total,131,2024,342,627,342,627,0,0,122,194,167,309,476,54,44,53,165,210,806
5282,Stephen Sir,2006,2007,Northern Arizona,Big Sky,62,1560,260,551,43,108,217,443,69,80,6,116,122,91,35,3,106,119,806
5283,Blake Smith,2010,2013,Radford,Big South,115,2580,289,764,189,456,100,308,128,188,87,292,379,199,183,49,180,207,806
5284,Dave Sobolewski,2012,2015,Northwestern,Big Ten,123,3194,236,647,117,268,119,379,215,307,32,222,254,334,88,22,158,285,806
5285,Alex Stepheson,2007,2011,Total,Total,137,2619,332,638,332,638,0,0,142,286,299,467,766,24,24,128,152,247,806
5286,Valdas Vasylius,2006,2007,Old Dominion,CAA,66,1521,254,540,217,420,37,120,261,367,136,211,347,52,51,28,98,178,806
5287,Kaleb Wesson,2018,2019,Ohio State,Big Ten,65,1511,274,522,244,433,30,89,228,313,153,231,384,95,51,42,107,196,806
5288,Darnell Wilson,2006,2007,Canisius,MAAC,60,1705,333,589,333,586,0,3,140,227,161,224,385,70,85,71,156,220,806
5289,Maurice Acker,2006,2010,Total,Total,130,2883,258,674,134,349,124,325,165,215,35,174,209,378,136,3,184,267,805
5290,Martin Hermannsson,2015,2016,Long Island University,NEC,61,2061,244,566,186,386,58,180,259,296,43,206,249,246,82,13,141,148,805
5291,Andre Ingram,2006,2007,American,Patriot,59,1975,265,690,138,361,127,329,148,183,51,229,280,106,66,4,96,108,805
5292,Mike Jones,2006,2007,Maryland,ACC,66,1641,283,634,141,303,142,331,97,116,58,161,219,95,53,17,114,128,805
5293,Greg Malinowski,2015,2019,Total,Total,128,2320,276,643,124,253,152,390,101,136,83,319,402,155,59,15,137,196,805
5294,Nathan Mann,2006,2008,William & Mary,CAA,91,2455,273,738,95,236,178,502,81,107,33,235,268,183,71,5,138,157,805
5295,Anthony Myers,2011,2014,Robert Morris,NEC,137,3367,263,677,181,421,82,256,197,268,125,242,367,449,148,2,232,225,805
5296,Dwayne Smith,2010,2013,George Washington,A-10,120,1940,305,720,264,593,41,127,154,257,218,216,434,62,74,54,146,201,805
5297,P.J. Thompson,2015,2018,Purdue,Big Ten,137,3229,248,567,87,168,161,399,148,185,71,168,239,294,124,4,100,232,805
5298,Brian Voelkel,2011,2014,Vermont,AEC,134,4134,233,576,203,468,30,108,309,485,329,839,1168,679,207,27,295,239,805
5299,Will Weeks,2013,2017,North Carolina-Asheville,Big South,111,2883,309,566,309,566,0,0,187,346,210,326,536,211,106,21,174,207,805
5300,Garrius Adams,2010,2014,Miami (FL),ACC,120,2976,261,708,156,348,105,360,177,267,92,303,395,197,113,20,161,172,804
5301,Gary Browne,2012,2015,West Virginia,Total,129,2774,236,614,163,374,73,240,259,359,115,241,356,241,136,3,182,240,804
5302,Michael Dison,2012,2015,Montana State,Big Sky,115,2234,282,733,174,428,108,305,132,196,77,203,280,162,93,5,141,225,804
5303,Mike Fitzgerald,2010,2013,Air Force,MWC,117,2389,261,551,141,246,120,305,162,200,47,249,296,90,61,18,115,204,804
5304,Braxton Key,2017,2019,Total,Total,98,2419,278,651,212,431,66,220,182,274,141,390,531,172,84,53,180,203,804
5305,Tyler Melville,2011,2014,Dartmouth,Ivy,112,2153,266,658,195,460,71,198,201,258,44,133,177,148,62,15,184,242,804
5306,Obie Nwadike,2006,2007,Central Connecticut State,NEC,60,2047,247,506,247,503,0,3,310,421,251,379,630,86,63,8,139,183,804
5307,Chad Troyer,2006,2009,Total,Total,89,2074,264,645,94,211,170,434,106,132,23,136,159,106,35,1,111,115,804
5308,Jesus Verdejo,2007,2009,South Florida,Big East,79,2289,282,700,175,378,107,322,133,193,42,156,198,175,42,3,150,113,804
5309,Adam Wing,2013,2016,Evansville,MVC,127,3328,293,632,244,508,49,124,169,216,104,341,445,240,92,24,186,287,804
5310,Kameron Woods,2012,2015,Butler,Total,136,3315,289,623,277,558,12,65,214,329,272,684,956,148,103,125,188,267,804
5311,Drick Bernstine,2014,2018,Total,Total,106,2859,345,693,343,676,2,17,111,215,176,585,761,241,108,60,223,308,803
5314,DJ Cole,2012,2015,Youngstown State,Horizon,121,3071,260,619,187,408,73,211,210,299,39,245,284,418,133,9,227,198,803
5315,Ross Cummings,2017,2019,Mercer,Southern,73,1624,248,586,86,182,162,404,145,183,22,122,144,80,25,3,91,92,803
5316,Alex Gordon,2006,2008,Vanderbilt,SEC,98,2460,241,609,81,197,160,412,161,213,16,186,202,294,88,6,163,162,803
5317,David Knudsen,2016,2019,Marist,MAAC,119,2420,279,693,128,259,151,434,94,118,59,208,267,131,68,16,123,149,803
5318,Davon Marshall,2013,2014,Liberty,Big South,67,2097,253,646,80,204,173,442,124,150,18,112,130,173,55,2,120,74,803
5319,Janarius Middleton,2014,2017,Jackson State,SWAC,124,2696,345,717,321,633,24,84,89,144,288,362,650,102,52,43,135,298,803
5320,Terrell Smith,2008,2011,Pacific,Big West,131,3035,278,678,205,459,73,219,174,252,119,303,422,254,61,15,211,267,803
